iter	Passed	Remaining
0	156	156549
1	159	79564
2	162	53875
3	164	41024
4	167	33313
5	170	28176
6	172	24506
7	175	21763
8	178	19625
9	180	17902
10	183	16508
11	186	15344
12	188	14346
13	191	13487
14	194	12752
15	196	12102
16	199	11535
17	202	11020
18	204	10578
19	207	10166
20	210	9790
21	212	9447
22	215	9148
23	218	8865
24	220	8606
25	223	8366
26	225	8144
27	228	7936
28	231	7750
29	234	7572
30	236	7402
31	239	7238
32	241	7090
33	245	6967
34	248	6849
35	251	6727
36	253	6607
37	256	6492
38	258	6380
39	261	6282
40	264	6179
41	266	6082
42	269	5991
43	271	5904
44	274	5819
45	277	5746
46	279	5669
47	282	5598
48	285	5532
49	287	5464
50	290	5405
51	293	5349
52	296	5291
53	298	5233
54	301	5180
55	304	5127
56	306	5076
57	309	5024
58	311	4975
59	314	4927
60	316	4879
61	319	4836
62	322	4791
63	324	4749
64	327	4706
65	329	4664
66	332	4623
67	334	4588
68	337	4553
69	339	4516
70	342	4480
71	345	4448
72	347	4415
73	350	4386
74	353	4355
75	355	4324
76	358	4292
77	360	4262
78	362	4231
79	365	4203
80	368	4180
81	370	4152
82	373	4124
83	375	4098
84	378	4073
85	381	4051
86	384	4030
87	386	4007
88	389	3983
89	391	3960
90	394	3937
91	396	3916
92	399	3897
93	402	3877
94	404	3858
95	407	3838
96	410	3819
97	413	3803
98	416	3786
99	418	3768
100	421	3750
101	424	3735
102	427	3719
103	429	3703
104	432	3689
105	435	3674
106	438	3658
107	441	3642
108	443	3627
109	446	3613
110	449	3601
111	452	3586
112	455	3571
113	457	3556
114	460	3542
115	463	3528
116	465	3514
117	468	3501
118	471	3487
119	473	3473
120	476	3459
121	478	3446
122	481	3434
123	484	3422
124	486	3408
125	489	3396
126	492	3383
127	494	3371
128	497	3359
129	500	3347
130	502	3334
131	505	3323
132	508	3311
133	510	3301
134	513	3290
135	516	3278
136	518	3267
137	521	3256
138	523	3245
139	526	3236
140	529	3225
141	532	3214
142	534	3205
143	537	3195
144	540	3184
145	542	3175
146	545	3165
147	548	3156
148	550	3145
149	553	3135
150	556	3126
151	558	3116
152	561	3107
153	563	3097
154	566	3087
155	569	3078
156	571	3069
157	574	3060
158	577	3052
159	579	3042
160	582	3033
161	584	3025
162	587	3015
163	589	3006
164	592	2998
165	595	2990
166	597	2982
167	600	2973
168	603	2965
169	605	2956
170	608	2948
171	610	2939
172	613	2930
173	615	2923
174	618	2914
175	620	2906
176	623	2898
177	625	2890
178	628	2881
179	630	2874
180	633	2865
181	635	2858
182	638	2849
183	640	2842
184	643	2835
185	646	2827
186	648	2819
187	651	2812
188	653	2805
189	656	2797
190	659	2791
191	661	2784
192	664	2777
193	666	2769
194	669	2762
195	672	2756
196	674	2750
197	677	2743
198	680	2737
199	682	2730
200	684	2722
201	687	2716
202	690	2709
203	692	2702
204	695	2695
205	697	2688
206	700	2681
207	702	2675
208	705	2669
209	707	2662
210	710	2656
211	712	2649
212	715	2642
213	717	2636
214	720	2630
215	723	2624
216	725	2617
217	727	2611
218	730	2604
219	732	2598
220	735	2591
221	738	2586
222	740	2580
223	743	2574
224	745	2568
225	748	2562
226	750	2556
227	753	2550
228	756	2545
229	758	2539
230	761	2533
231	763	2527
232	766	2522
233	769	2517
234	771	2512
235	774	2506
236	776	2500
237	779	2494
238	781	2489
239	784	2484
240	787	2478
241	789	2473
242	792	2467
243	794	2462
244	797	2456
245	799	2450
246	802	2445
247	804	2440
248	807	2434
249	810	2430
250	812	2424
251	815	2419
252	817	2414
253	820	2409
254	822	2404
255	825	2399
256	828	2393
257	830	2388
258	833	2384
259	836	2379
260	838	2374
261	841	2369
262	843	2363
263	845	2358
264	848	2354
265	851	2349
266	854	2344
267	856	2339
268	859	2334
269	861	2329
270	864	2324
271	866	2319
272	869	2314
273	871	2310
274	874	2305
275	876	2300
276	879	2295
277	882	2291
278	884	2286
279	887	2281
280	889	2276
281	892	2271
282	894	2266
283	897	2262
284	899	2257
285	902	2252
286	904	2248
287	907	2243
288	909	2238
289	912	2233
290	914	2229
291	917	2224
292	920	2220
293	922	2215
294	925	2210
295	927	2206
296	930	2202
297	933	2198
298	935	2193
299	938	2189
300	940	2184
301	943	2180
302	945	2175
303	948	2171
304	951	2167
305	953	2162
306	956	2158
307	958	2154
308	961	2149
309	964	2146
310	966	2142
311	969	2137
312	972	2133
313	974	2129
314	977	2125
315	980	2121
316	982	2117
317	985	2113
318	987	2109
319	990	2105
320	993	2100
321	995	2096
322	998	2092
323	1000	2088
324	1003	2083
325	1005	2079
326	1008	2075
327	1010	2071
328	1013	2067
329	1016	2063
330	1018	2058
331	1021	2054
332	1023	2050
333	1026	2047
334	1029	2043
335	1031	2039
336	1034	2034
337	1036	2030
338	1039	2026
339	1041	2022
340	1044	2018
341	1046	2014
342	1049	2010
343	1051	2006
344	1054	2001
345	1056	1997
346	1059	1993
347	1062	1989
348	1064	1985
349	1066	1981
350	1069	1977
351	1072	1973
352	1074	1969
353	1077	1966
354	1080	1962
355	1082	1958
356	1085	1954
357	1087	1950
358	1090	1946
359	1093	1943
360	1095	1939
361	1098	1935
362	1100	1931
363	1103	1927
364	1105	1923
365	1108	1920
366	1110	1916
367	1113	1912
368	1116	1908
369	1118	1904
370	1121	1900
371	1123	1897
372	1126	1893
373	1128	1889
374	1131	1885
375	1133	1881
376	1136	1877
377	1138	1873
378	1141	1869
379	1143	1866
380	1146	1862
381	1148	1858
382	1151	1855
383	1154	1851
384	1156	1847
385	1159	1843
386	1161	1840
387	1164	1836
388	1166	1832
389	1169	1828
390	1172	1825
391	1174	1822
392	1177	1818
393	1179	1814
394	1182	1810
395	1184	1807
396	1187	1803
397	1189	1799
398	1192	1796
399	1194	1792
400	1197	1788
401	1199	1784
402	1202	1780
403	1204	1777
404	1207	1774
405	1210	1770
406	1212	1766
407	1215	1763
408	1217	1759
409	1220	1755
410	1222	1752
411	1225	1748
412	1227	1745
413	1230	1741
414	1232	1737
415	1235	1734
416	1237	1730
417	1240	1727
418	1243	1723
419	1245	1720
420	1248	1717
421	1251	1714
422	1254	1711
423	1257	1707
424	1259	1704
425	1262	1700
426	1264	1696
427	1267	1693
428	1269	1689
429	1271	1686
430	1274	1682
431	1277	1679
432	1279	1675
433	1282	1672
434	1284	1668
435	1287	1665
436	1289	1661
437	1292	1658
438	1294	1654
439	1297	1651
440	1299	1647
441	1302	1644
442	1305	1641
443	1307	1637
444	1310	1634
445	1313	1631
446	1315	1627
447	1318	1624
448	1320	1621
449	1323	1617
450	1326	1614
451	1328	1610
452	1331	1607
453	1333	1603
454	1336	1600
455	1338	1597
456	1341	1593
457	1344	1590
458	1346	1587
459	1349	1584
460	1352	1580
461	1354	1577
462	1357	1574
463	1359	1570
464	1362	1567
465	1365	1564
466	1367	1561
467	1370	1557
468	1372	1554
469	1375	1551
470	1378	1547
471	1380	1544
472	1383	1541
473	1385	1537
474	1388	1534
475	1390	1531
476	1393	1527
477	1395	1524
478	1398	1521
479	1401	1517
480	1403	1514
481	1406	1511
482	1408	1507
483	1411	1504
484	1413	1501
485	1416	1497
486	1419	1494
487	1421	1491
488	1424	1488
489	1426	1484
490	1429	1481
491	1431	1478
492	1434	1475
493	1436	1471
494	1439	1468
495	1442	1465
496	1444	1462
497	1447	1459
498	1450	1455
499	1452	1452
500	1455	1449
501	1457	1446
502	1460	1442
503	1462	1439
504	1465	1436
505	1467	1433
506	1470	1429
507	1472	1426
508	1475	1423
509	1478	1420
510	1480	1417
511	1483	1413
512	1485	1410
513	1488	1407
514	1490	1404
515	1493	1400
516	1495	1397
517	1498	1394
518	1500	1390
519	1503	1387
520	1505	1384
521	1508	1381
522	1511	1378
523	1514	1375
524	1516	1372
525	1518	1368
526	1521	1365
527	1524	1362
528	1526	1359
529	1529	1356
530	1531	1352
531	1534	1349
532	1536	1346
533	1539	1343
534	1541	1339
535	1544	1336
536	1546	1333
537	1549	1330
538	1552	1327
539	1554	1324
540	1557	1321
541	1559	1318
542	1562	1315
543	1564	1311
544	1567	1308
545	1569	1305
546	1572	1302
547	1575	1299
548	1577	1295
549	1580	1292
550	1582	1289
551	1585	1286
552	1587	1283
553	1590	1280
554	1593	1277
555	1595	1274
556	1598	1271
557	1600	1267
558	1603	1264
559	1605	1261
560	1608	1258
561	1611	1255
562	1613	1252
563	1616	1249
564	1618	1246
565	1621	1243
566	1624	1240
567	1626	1237
568	1629	1233
569	1631	1230
570	1633	1227
571	1636	1224
572	1638	1221
573	1641	1218
574	1644	1215
575	1646	1211
576	1648	1208
577	1651	1205
578	1653	1202
579	1656	1199
580	1659	1196
581	1661	1193
582	1664	1190
583	1667	1187
584	1669	1184
585	1672	1181
586	1674	1178
587	1677	1175
588	1679	1172
589	1682	1168
590	1684	1165
591	1687	1162
592	1689	1159
593	1692	1156
594	1694	1153
595	1697	1150
596	1699	1147
597	1702	1144
598	1705	1141
599	1707	1138
600	1710	1135
601	1712	1132
602	1715	1129
603	1717	1126
604	1720	1123
605	1723	1120
606	1725	1117
607	1728	1114
608	1730	1111
609	1733	1108
610	1735	1105
611	1738	1102
612	1741	1099
613	1743	1096
614	1746	1093
615	1748	1090
616	1751	1087
617	1754	1084
618	1756	1081
619	1759	1078
620	1761	1075
621	1764	1072
622	1766	1069
623	1769	1066
624	1772	1063
625	1774	1060
626	1777	1057
627	1779	1054
628	1781	1051
629	1784	1048
630	1787	1045
631	1789	1042
632	1792	1039
633	1794	1036
634	1797	1033
635	1799	1030
636	1802	1027
637	1805	1024
638	1807	1021
639	1810	1018
640	1812	1015
641	1815	1012
642	1817	1009
643	1820	1006
644	1822	1003
645	1825	1000
646	1827	997
647	1830	994
648	1833	991
649	1835	988
650	1838	985
651	1840	982
652	1843	979
653	1845	976
654	1848	973
655	1851	970
656	1854	967
657	1856	965
658	1859	962
659	1861	959
660	1864	956
661	1866	953
662	1869	950
663	1871	947
664	1874	944
665	1876	941
666	1879	938
667	1881	935
668	1884	932
669	1886	929
670	1889	926
671	1891	923
672	1894	920
673	1897	917
674	1899	914
675	1902	911
676	1904	908
677	1907	905
678	1909	902
679	1912	900
680	1915	897
681	1917	894
682	1920	891
683	1922	888
684	1925	885
685	1927	882
686	1930	879
687	1933	876
688	1935	873
689	1938	870
690	1940	867
691	1943	864
692	1946	862
693	1948	859
694	1951	856
695	1953	853
696	1955	850
697	1958	847
698	1961	844
699	1964	841
700	1966	838
701	1969	835
702	1971	832
703	1974	830
704	1976	827
705	1979	824
706	1982	821
707	1984	818
708	1986	815
709	1989	812
710	1991	809
711	1994	806
712	1996	803
713	1999	800
714	2001	797
715	2004	795
716	2007	792
717	2009	789
718	2012	786
719	2014	783
720	2017	780
721	2020	777
722	2022	774
723	2025	771
724	2027	769
725	2030	766
726	2032	763
727	2035	760
728	2037	757
729	2040	754
730	2043	751
731	2045	748
732	2048	746
733	2050	743
734	2053	740
735	2055	737
736	2058	734
737	2060	731
738	2063	728
739	2065	725
740	2068	722
741	2070	720
742	2073	717
743	2075	714
744	2078	711
745	2081	708
746	2083	705
747	2085	702
748	2088	699
749	2090	696
750	2093	694
751	2096	691
752	2099	688
753	2101	685
754	2104	682
755	2106	679
756	2109	677
757	2111	674
758	2114	671
759	2116	668
760	2119	665
761	2121	662
762	2124	659
763	2127	657
764	2129	654
765	2132	651
766	2134	648
767	2137	645
768	2139	642
769	2142	639
770	2144	637
771	2147	634
772	2150	631
773	2152	628
774	2155	625
775	2157	622
776	2160	619
777	2162	617
778	2165	614
779	2167	611
780	2170	608
781	2172	605
782	2175	602
783	2177	600
784	2180	597
785	2182	594
786	2185	591
787	2188	588
788	2190	585
789	2193	583
790	2195	580
791	2198	577
792	2200	574
793	2203	571
794	2206	568
795	2208	566
796	2210	563
797	2213	560
798	2216	557
799	2218	554
800	2221	551
801	2223	548
802	2226	546
803	2228	543
804	2231	540
805	2233	537
806	2236	534
807	2238	532
808	2241	529
809	2243	526
810	2246	523
811	2249	520
812	2251	517
813	2254	515
814	2256	512
815	2259	509
816	2261	506
817	2264	503
818	2266	500
819	2269	498
820	2272	495
821	2274	492
822	2276	489
823	2279	486
824	2282	484
825	2284	481
826	2287	478
827	2289	475
828	2292	472
829	2294	470
830	2297	467
831	2300	464
832	2302	461
833	2305	458
834	2307	456
835	2310	453
836	2313	450
837	2315	447
838	2318	444
839	2321	442
840	2323	439
841	2326	436
842	2328	433
843	2331	430
844	2334	428
845	2336	425
846	2339	422
847	2341	419
848	2344	416
849	2346	414
850	2349	411
851	2351	408
852	2354	405
853	2357	402
854	2359	400
855	2362	397
856	2364	394
857	2367	391
858	2369	389
859	2372	386
860	2375	383
861	2377	380
862	2380	377
863	2382	375
864	2385	372
865	2387	369
866	2390	366
867	2393	363
868	2395	361
869	2398	358
870	2400	355
871	2403	352
872	2405	349
873	2408	347
874	2410	344
875	2413	341
876	2415	338
877	2418	336
878	2420	333
879	2423	330
880	2425	327
881	2428	324
882	2430	322
883	2433	319
884	2435	316
885	2438	313
886	2441	310
887	2443	308
888	2446	305
889	2449	302
890	2451	299
891	2454	297
892	2456	294
893	2459	291
894	2462	288
895	2464	286
896	2467	283
897	2469	280
898	2472	277
899	2474	274
900	2477	272
901	2479	269
902	2482	266
903	2485	263
904	2487	261
905	2490	258
906	2492	255
907	2495	252
908	2498	250
909	2500	247
910	2503	244
911	2505	241
912	2508	238
913	2510	236
914	2513	233
915	2515	230
916	2518	227
917	2520	225
918	2523	222
919	2525	219
920	2528	216
921	2531	214
922	2533	211
923	2536	208
924	2538	205
925	2541	203
926	2543	200
927	2546	197
928	2548	194
929	2551	192
930	2553	189
931	2556	186
932	2559	183
933	2561	181
934	2564	178
935	2566	175
936	2569	172
937	2571	169
938	2574	167
939	2577	164
940	2579	161
941	2582	158
942	2584	156
943	2587	153
944	2590	150
945	2592	147
946	2595	145
947	2597	142
948	2600	139
949	2603	137
950	2605	134
951	2608	131
952	2610	128
953	2613	126
954	2615	123
955	2618	120
956	2620	117
957	2623	115
958	2626	112
959	2628	109
960	2631	106
961	2634	104
962	2636	101
963	2639	98
964	2641	95
965	2644	93
966	2646	90
967	2649	87
968	2651	84
969	2654	82
970	2657	79
971	2659	76
972	2662	73
973	2664	71
974	2667	68
975	2669	65
976	2672	62
977	2674	60
978	2677	57
979	2679	54
980	2682	51
981	2684	49
982	2687	46
983	2690	43
984	2692	41
985	2694	38
986	2697	35
987	2699	32
988	2702	30
989	2705	27
990	2707	24
991	2709	21
992	2712	19
993	2714	16
994	2717	13
995	2720	10
996	2722	8
997	2725	5
998	2728	2
999	2730	0
