,quarter,생산수,오류발생여부
0,2011 Q1,1435,73
1,2011 Q2,865,38
2,2011 Q3,745,38
3,2011 Q4,914,38
4,2012 Q1,642,27
5,2012 Q2,344,11
6,2012 Q3,267,7
7,2012 Q4,268,21
8,2013 Q1,238,10
9,2013 Q2,321,7
10,2013 Q3,262,20
11,2013 Q4,148,11
12,2014 Q1,119,0
13,2014 Q2,101,0
14,2014 Q3,129,3
15,2014 Q4,121,4
16,2015 Q1,101,11
17,2015 Q2,182,13
18,2015 Q4,74,6
19,2016 Q1,127,1
20,2016 Q2,202,2
21,2016 Q3,189,5
22,2016 Q4,169,15
23,2017 Q1,1151,52
24,2017 Q2,1712,75
25,2017 Q3,1473,65
26,2017 Q4,1050,48
27,2018 Q1,1169,41
28,2018 Q2,1066,55
29,2018 Q3,1135,55
30,2018 Q4,831,37
31,2019 Q1,879,38
32,2019 Q2,819,38
33,2019 Q3,647,25
34,2019 Q4,708,26
35,2020 Q1,665,28
36,2020 Q2,603,35
37,2020 Q3,532,21
38,2020 Q4,494,17
39,2021 Q1,360,21
40,2021 Q2,324,17
41,2021 Q3,349,6
42,2021 Q4,139,13
