순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name
10,D004,2011-01-03,W005,71.1258307,93.4258307,127.8782807,22.968,201.43,,충전실,위치조정,14:16,14:24,8.0,W0056B4,1,79,위치조정,2,2:공정 중 발생
7,D011,2011-01-04,W005,71.58746958,103.9874696,138.7361196,23.166,204.974,,충전실,대기,18:54,19:03,9.0,W005711,1,29,대기,1,1:공정 전 발생
2,C002,2011-01-05,W003,70.5409949,102.4409949,137.1351949,23.129,204.249,,쿠킹실,충전,9:51,9:58,7.0,W003452,1,96,충전,2,2:공정 중 발생
13,P004,2011-01-05,W007,71.40118882,111.9011888,146.5857388,23.123,200.068,,포장실,구동부,18:20,20:44,144.0,W0076B2,1,18,구동부,2,2:공정 중 발생
5,C007,2011-01-10,W003,71.4284858,125.1284858,159.5910858,22.975,198.316,,쿠킹실,충전,9:55,10:05,10.0,W003452,1,96,충전,2,2:공정 중 발생
17,C004,2011-01-10,W003,70.64933315,105.1493332,139.6801832,23.021,200.541,,쿠킹실,충진 미종료,22:32,1:16,164.0,W003721,1,97,충진 미종료,2,2:공정 중 발생
19,C006,2011-01-10,W003,71.3108351,132.2108351,166.2825851,22.715,197.757,,쿠킹실,충전,23:48,0:36,48.0,W003452,1,96,충전,2,2:공정 중 발생
7,C003,2011-01-11,W003,69.9266261,104.2266261,138.7197261,22.995,203.453,,쿠킹실,충전,11:13,12:00,47.0,W003452,1,96,충전,2,2:공정 중 발생
21,D004,2011-01-11,W005,69.82173327,100.0217333,134.8143333,23.195,203.999,,충전실,노즐,2:35,2:42,7.0,W0056E1,1,28,노즐,2,2:공정 중 발생
3,D003,2011-01-12,W005,69.99307321,87.09307321,121.5533732,22.974,208.431,,충전실,인쇄불량,11:59,13:39,100.0,W005311,1,83,인쇄불량,3,3:기타
6,C007,2011-01-12,W003,71.6229304,104.9229304,139.6204304,23.132,203.581,,쿠킹실,충전,14:30,14:40,10.0,W003452,1,96,충전,2,2:공정 중 발생
11,C008,2011-01-12,W003,70.82675441,111.7267544,146.4954544,23.179,205.069,,쿠킹실,기타,19:32,20:48,76.0,W003711,1,23,기타,3,3:기타
19,C006,2011-01-12,W003,70.50554656,109.1055466,143.8909466,23.19,203.06,,쿠킹실,충전,0:40,4:33,233.0,W003452,1,96,충전,2,2:공정 중 발생
2,D005,2011-01-13,W005,73.03167525,94.33167525,128.9951753,23.109,206.533,,충전실,시밍,9:47,10:01,14.0,W0056E2,1,55,시밍,2,2:공정 중 발생
14,P004,2011-01-13,W007,71.69153436,108.5915344,142.7903344,22.799,197.773,,포장실,식사,17:27,18:04,37.0,W007212,1,58,식사,3,3:기타
4,C006,2011-01-15,W003,70.64499336,103.7449934,138.2918434,23.031,205.591,,쿠킹실,충전,5:00,6:50,110.0,W003452,1,96,충전,2,2:공정 중 발생
9,C010,2011-01-17,W003,70.62957997,102.42958,137.06753,23.092,207.617,,쿠킹실,전처리,12:40,13:16,36.0,W003312,1,86,전처리,1,1:공정 전 발생
28,D004,2011-01-17,W005,71.13738247,93.43738247,128.0591825,23.081,207.676,,충전실,노즐,18:15,18:27,12.0,W0056E1,1,28,노즐,2,2:공정 중 발생
3,D005,2011-01-18,W005,70.55518255,88.15518255,122.9379826,23.189,206.756,,충전실,히터,9:06,9:09,3.0,W0056A4,1,109,히터,2,2:공정 중 발생
13,C008,2011-01-18,W003,72.02363204,95.92363204,130.487732,23.043,201.593,,쿠킹실,충전,14:10,15:00,50.0,W003452,1,96,충전,2,2:공정 중 발생
20,C003,2011-01-18,W003,72.31890632,90.01890632,124.3562563,22.892,200.17,,쿠킹실,충전,19:23,19:47,24.0,W003452,1,96,충전,2,2:공정 중 발생
13,D004,2011-01-20,W005,73.14601655,74.44601655,109.1336666,23.125,204.392,,충전실,교육,14:14,14:36,22.0,W005211,1,16,교육,3,3:기타
7,D011,2011-01-21,W005,70.56048823,97.06048823,131.6004882,23.027,201.328,,충전실,교체,14:10,14:30,20.0,W005492,1,17,교체,2,2:공정 중 발생
6,D011,2011-01-22,W005,71.79017598,112.190176,146.565026,22.917,201.538,,충전실,불량교체,22:20,0:01,101.0,W005313,1,47,불량교체,2,2:공정 중 발생
11,D005,2011-01-25,W005,72.16492652,108.4649265,142.8440265,22.919,199.042,,충전실,시밍,17:13,17:26,13.0,W0056E2,1,55,시밍,2,2:공정 중 발생
15,D005,2011-01-25,W005,71.69563491,102.5956349,137.3685349,23.182,203.335,,충전실,시밍,18:54,19:08,14.0,W0056E2,1,55,시밍,2,2:공정 중 발생
18,C006,2011-01-25,W003,71.88237853,114.5823785,149.0665785,22.989,206.936,,쿠킹실,충전,22:30,23:45,75.0,W003452,1,96,충전,2,2:공정 중 발생
23,D011,2011-01-25,W005,70.43161083,118.9316108,153.3239108,22.928,209.025,,충전실,교체,0:00,0:10,10.0,W005492,1,17,교체,2,2:공정 중 발생
12,D004,2011-01-26,W005,69.64934486,94.04934486,128.4979949,22.966,201.361,,충전실,대기,13:57,14:00,3.0,W005711,1,29,대기,1,1:공정 전 발생
8,C001,2011-01-27,W003,71.04858164,102.9485816,137.4265816,22.985,202.415,,쿠킹실,전처리,10:46,11:44,58.0,W003312,1,86,전처리,1,1:공정 전 발생
15,C001,2011-01-27,W003,71.52291686,96.82291686,131.2778169,22.97,203.556,,쿠킹실,전처리,14:00,14:51,51.0,W003312,1,86,전처리,1,1:공정 전 발생
25,C008,2011-01-27,W003,71.82407167,118.2240717,152.9366217,23.142,201.493,,쿠킹실,시생산 지연,21:05,22:35,90.0,W003471,1,57,시생산 지연,1,1:공정 전 발생
7,D005,2011-01-28,W005,72.25897733,123.3589773,157.9057273,23.031,201.46,,충전실,그립퍼,11:30,11:55,25.0,W005631,1,21,그립퍼,2,2:공정 중 발생
17,D011,2011-01-28,W005,69.42565768,79.22565768,113.6485577,22.949,202.922,,충전실,씰바 셋팅,14:15,15:10,55.0,W005441,1,61,씰바 셋팅,2,2:공정 중 발생
25,D011,2011-01-28,W005,69.30190557,87.60190557,122.1503556,23.032,199.155,,충전실,불량교체,22:42,22:55,13.0,W005313,1,47,불량교체,2,2:공정 중 발생
