Error_label,Error_name,Error_class,name_x,name_y
110,정상,0,0:정상,0:정상
79,위치조정,2,2:공정 중 발생,2:공정 중 발생
18,구동부,2,2:공정 중 발생,2:공정 중 발생
97,충진 미종료,2,2:공정 중 발생,2:공정 중 발생
28,노즐,2,2:공정 중 발생,2:공정 중 발생
55,시밍,2,2:공정 중 발생,2:공정 중 발생
47,불량교체,2,2:공정 중 발생,2:공정 중 발생
90,제품 넘어짐 청소,2,2:공정 중 발생,2:공정 중 발생
76,원료,2,2:공정 중 발생,2:공정 중 발생
99,컨베이어,2,2:공정 중 발생,2:공정 중 발생
7,감도,2,2:공정 중 발생,2:공정 중 발생
60,실바,2,2:공정 중 발생,2:공정 중 발생
37,미포장,2,2:공정 중 발생,2:공정 중 발생
101,쿠커배합 미종료,2,2:공정 중 발생,2:공정 중 발생
72,온도 상승 지연,2,2:공정 중 발생,2:공정 중 발생
91,제품 넘침 청소,2,2:공정 중 발생,2:공정 중 발생
80,은박교체,2,2:공정 중 발생,2:공정 중 발생
71,오리히로,2,2:공정 중 발생,2:공정 중 발생
39,밸브,2,2:공정 중 발생,2:공정 중 발생
50,설비,2,2:공정 중 발생,2:공정 중 발생
46,분사노즐,2,2:공정 중 발생,2:공정 중 발생
1,Air (컴푸레샤),2,2:공정 중 발생,2:공정 중 발생
93,진공,2,2:공정 중 발생,2:공정 중 발생
42,보일러 꺼짐,2,2:공정 중 발생,2:공정 중 발생
3,PSD패킹 교체,2,2:공정 중 발생,2:공정 중 발생
106,필름(파우더불량),2,2:공정 중 발생,2:공정 중 발생
2,Brix 이상,2,2:공정 중 발생,2:공정 중 발생
26,냉각(칠러),2,2:공정 중 발생,2:공정 중 발생
88,점도이상,2,2:공정 중 발생,2:공정 중 발생
85,전기,2,2:공정 중 발생,2:공정 중 발생
33,라벨부착 오류,2,2:공정 중 발생,2:공정 중 발생
59,실린더,2,2:공정 중 발생,2:공정 중 발생
62,아이마크,2,2:공정 중 발생,2:공정 중 발생
84,일부인 짤림,2,2:공정 중 발생,2:공정 중 발생
63,압력 부족,2,2:공정 중 발생,2:공정 중 발생
32,라벨교체,2,2:공정 중 발생,2:공정 중 발생
74,용기불량,2,2:공정 중 발생,2:공정 중 발생
75,용수탱크 저수위,2,2:공정 중 발생,2:공정 중 발생
6,ph 이상,2,2:공정 중 발생,2:공정 중 발생
103,푸딩 충전기,2,2:공정 중 발생,2:공정 중 발생
54,스팀 압력,2,2:공정 중 발생,2:공정 중 발생
44,본체 고장,2,2:공정 중 발생,2:공정 중 발생
45,부족,2,2:공정 중 발생,2:공정 중 발생
36,모터이상,2,2:공정 중 발생,2:공정 중 발생
95,체인,2,2:공정 중 발생,2:공정 중 발생
51,세부 세척,2,2:공정 중 발생,2:공정 중 발생
12,공정,2,2:공정 중 발생,2:공정 중 발생
40,별도구작업,2,2:공정 중 발생,2:공정 중 발생
82,이송끊김,2,2:공정 중 발생,2:공정 중 발생
98,충진라인 중복,2,2:공정 중 발생,2:공정 중 발생
35,메카니칼 씰,2,2:공정 중 발생,2:공정 중 발생
19,구동부 이상,2,2:공정 중 발생,2:공정 중 발생
25,냉각 미종료,2,2:공정 중 발생,2:공정 중 발생
107,헤드,2,2:공정 중 발생,2:공정 중 발생
41,병 끼임,2,2:공정 중 발생,2:공정 중 발생
8,감도 조절,2,2:공정 중 발생,2:공정 중 발생
48,사이드 글라스,2,2:공정 중 발생,2:공정 중 발생
13,과부하(제품끼임),2,2:공정 중 발생,2:공정 중 발생
65,약품 부족,2,2:공정 중 발생,2:공정 중 발생
29,대기,2,1:공정 전 발생,2:공정 중 발생
86,전처리,2,1:공정 전 발생,2:공정 중 발생
57,시생산 지연,2,1:공정 전 발생,2:공정 중 발생
15,관리팀미입고(생산지연),2,1:공정 전 발생,2:공정 중 발생
14,"관리팀미입고(생산미지연,순서변경)",2,1:공정 전 발생,2:공정 중 발생
73,용기미입고,2,1:공정 전 발생,2:공정 중 발생
38,박스 준비,2,1:공정 전 발생,2:공정 중 발생
94,청소,2,1:공정 전 발생,2:공정 중 발생
31,라벨 미입고,2,1:공정 전 발생,2:공정 중 발생
77,원료 미입고,2,1:공정 전 발생,2:공정 중 발생
22,기기세팅,2,1:공정 전 발생,2:공정 중 발생
78,원료 지연,2,1:공정 전 발생,2:공정 중 발생
83,인쇄불량,2,3:기타,2:공정 중 발생
23,기타,2,3:기타,2:공정 중 발생
58,식사,2,3:기타,2:공정 중 발생
16,교육,2,3:기타,2:공정 중 발생
108,휴식,2,3:기타,2:공정 중 발생
64,야채실,2,3:기타,2:공정 중 발생
92,조회,2,3:기타,2:공정 중 발생
69,연구확인대기,2,3:기타,2:공정 중 발생
30,대차 적재 공간 부족,2,3:기타,2:공정 중 발생
68,연구 규격 확인 대기,2,3:기타,2:공정 중 발생
9,결근,2,3:기타,2:공정 중 발생
5,QA확인대기,2,3:기타,2:공정 중 발생
96,충전,1,2:공정 중 발생,1:공정 전 발생
61,씰바 셋팅,1,2:공정 중 발생,1:공정 전 발생
20,규격보정,1,2:공정 중 발생,1:공정 전 발생
81,이물 혼입,1,2:공정 중 발생,1:공정 전 발생
0,6열컵실러,1,2:공정 중 발생,1:공정 전 발생
49,색상 이상,1,2:공정 중 발생,1:공정 전 발생
11,고장,1,2:공정 중 발생,1:공정 전 발생
10,계량실,1,2:공정 중 발생,1:공정 전 발생
43,볶음,1,2:공정 중 발생,1:공정 전 발생
104,품목 교체,1,2:공정 중 발생,1:공정 전 발생
34,로타리1,1,2:공정 중 발생,1:공정 전 발생
100,컷팅기,1,2:공정 중 발생,1:공정 전 발생
67,업체미입고(생산지연),1,1:공정 전 발생,1:공정 전 발생
4,QA 규격 확인 대기,1,3:기타,1:공정 전 발생
109,히터,3,2:공정 중 발생,3:기타
17,교체,3,2:공정 중 발생,3:기타
21,그립퍼,3,2:공정 중 발생,3:기타
24,냉각,3,2:공정 중 발생,3:기타
52,센서,3,2:공정 중 발생,3:기타
102,펌프이상,3,2:공정 중 발생,3:기타
27,냉동품 투입,3,2:공정 중 발생,3:기타
70,염도이상,3,2:공정 중 발생,3:기타
89,정지,3,2:공정 중 발생,3:기타
105,품목교체,3,2:공정 중 발생,3:기타
87,점도,3,2:공정 중 발생,3:기타
53,수리,3,2:공정 중 발생,3:기타
66,"업체미입고(생산미지연,순서변경)",3,1:공정 전 발생,3:기타
56,시생산,3,3:기타,3:기타
