순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name,year
1,C002,2011-01-03,W003,70.3864799,102.0864799,136.9260799,23.226,212.043,70.83,,,,,,,0,110,정상,0,0:정상,2011
2,C007,2011-01-03,W003,72.1793185,114.0793185,149.9280685,23.899,211.625,73.4,,,,,,,0,110,정상,0,0:정상,2011
3,C001,2011-01-03,W003,71.66985277,96.76985277,131.7420028,23.315,201.844,70.37,,,,,,,0,110,정상,0,0:정상,2011
4,D004,2011-01-03,W005,72.67447467,108.5744747,143.5107247,23.291,212.419,71.92,,,,,,,0,110,정상,0,0:정상,2011
5,D004,2011-01-03,W005,71.72598175,86.82598175,122.3111318,23.657,209.525,72.75,,,,,,,0,110,정상,0,0:정상,2011
6,D004,2011-01-03,W005,71.01745185,102.6174519,137.4393519,23.215,202.096,71.53,,,,,,,0,110,정상,0,0:정상,2011
7,C005,2011-01-03,W003,70.43056511,96.03056511,131.5691651,23.692,208.269,74.81,,,,,,,0,110,정상,0,0:정상,2011
8,D004,2011-01-03,W005,72.03503866,101.4350387,137.0838887,23.766,210.648,76.97,,,,,,,0,110,정상,0,0:정상,2011
9,D004,2011-01-03,W005,70.54813463,117.1481346,153.4417846,24.196,214.138,74.47,,,,,,,0,110,정상,0,0:정상,2011
10,D004,2011-01-03,W005,71.1258307,93.4258307,127.8782807,22.968,201.43,,충전실,위치조정,14:16,14:24,8.0,W0056B4,1,79,위치조정,2,2:공정 중 발생,2011
11,D004,2011-01-03,W005,72.07056092,128.2705609,163.7074609,23.625,207.524,76.75,,,,,,,0,110,정상,0,0:정상,2011
12,D010,2011-01-03,W005,72.48140784,93.48140784,128.3300578,23.232,210.705,70.58,,,,,,,0,110,정상,0,0:정상,2011
13,C003,2011-01-03,W003,71.20613003,112.30613,147.57968,23.516,208.781,73.55,,,,,,,0,110,정상,0,0:정상,2011
14,D008,2011-01-03,W005,72.08142697,107.881427,143.646027,23.843,208.615,75.66,,,,,,,0,110,정상,0,0:정상,2011
15,D004,2011-01-03,W005,70.15501231,111.7550123,147.5609123,23.871,205.99,75.54,,,,,,,0,110,정상,0,0:정상,2011
16,D004,2011-01-03,W005,73.40428756,109.9042876,145.0840376,23.453,205.848,73.08,,,,,,,0,110,정상,0,0:정상,2011
17,D013,2011-01-03,W005,70.04403106,105.3440311,141.0131811,23.779,209.677,75.55,,,,,,,0,110,정상,0,0:정상,2011
1,C003,2011-01-04,W003,71.51105872,83.91105872,119.1267087,23.477,206.911,78.74,,,,,,,0,110,정상,0,0:정상,2011
